5	0.056	0.054	0	0	0.053	0.051	18	18	19
10	0.03	0.03	0.031	0.031	0.03	0.03	33	32	33
15	0	0	0.067	0.037	0	0	45	45	45
20	0	0	0.041	0.028	0.02	0.02	48	49	49
25	0	0	0	0	0.02	0.02	50	49	49
30	0	0	0.02	0.02	0.02	0.02	51	49	50
35	0.043	0.021	0.205	0.043	0.541	0.054	92	88	85
40	0.618	0.03	0.81	0.025	0.914	0.018	259	253	244
45	0.931	0.011	0.995	0.003	0.972	0.007	562	550	542
50	0.994	0.003	0.994	0.003	0.969	0.006	824	807	794
55	0.974	0.005	0.977	0.005	0.938	0.008	1005	994	984
60	0.969	0.005	0.976	0.005	0.943	0.007	1055	1050	1047
65	0.982	0.004	0.991	0.003	0.967	0.006	955	966	959
70	0.981	0.005	0.989	0.003	0.964	0.006	900	906	910
75	0.982	0.005	0.979	0.005	0.972	0.006	836	827	835
80	0.987	0.004	0.983	0.005	0.963	0.007	705	703	704
85	0.973	0.007	0.983	0.006	0.943	0.01	526	534	544
90	0.968	0.009	0.977	0.008	0.96	0.01	371	386	400
95	0.997	0.003	0.9987	0.006	0.984	0.007	308	313	310
