5	0.02	0.014	0.02	0.014	0.021	0.015	101	99	96
10	0.012	0.008	0.024	0.012	0.03	0.013	168	169	168
15	0.009	0.007	0.032	0.012	0.042	0.014	214	217	214
20	0.017	0.008	0.03	0.011	0.038	0.012	239	237	237
25	0.016	0.008	0.012	0.007	0.028	0.011	245	243	246
30	0.013	0.007	0.013	0.007	0.051	0.014	232	236	235
35	0.014	0.008	0.108	21	0.286	0.031	213	212	210
40	0.415	0.032	0.615	0.032	0.753	0.028	241	234	231
45	0.882	0.02	0.992	0.006	0.988	0.007	255	250	253
50	1	0	1	0	0.988	0.007	253	251	258
55	0.993	0.005	0.978	0.009	0.967	0.011	276	273	274
60	0.992	0.006	0.977	0.009	0.965	0.011	253	259	258
65	1	0	1	0	0.986	0.008	206	217	220
70	1	0	1	0	0.988	0.008	168	169	171
75	1	0	1	0	1	0	167	164	159
80	1	0	1	0	1	0	160	164	165
85	0.983	0.01	0.977	0.011	0.972	0.012	179	177	178
90	0.986	0.008	0.98	0.01	0.979	0.01	208	203	195
95	0.996	0.004	1	0	0.977	0.01	240	226	219
