5	0.017	0.012	0.017	0.012	0.026	0.015	117	118	116
10	0.011	0.008	0.029	0.013	0.036	0.014	176	174	168
15	0.009	0.007	0.032	0.012	0.042	0.014	214	217	214
20	0.017	0.009	0.027	0.011	0.04	0.013	229	225	224
25	0.013	0.007	0.009	0.006	0.036	0.012	232	225	223
30	0.013	0.008	0.018	0.009	0.054	0.015	225	223	223
35	0.041	0.013	0.258	0.03	0.445	0.034	218	217	218
40	0.541	0.032	0.737	0.029	0.885	0.021	242	236	235
45	0.988	0.007	0.996	0.004	0.988	0.007	249	247	248
50	1	0	1	0	0.964	0.012	250	249	249
55	0.992	0.005	0.977	0.009	0.965	0.011	264	263	257
60	0.992	0.006	0.976	0.01	0.988	0.007	247	246	245
65	1	0	1	0	0.985	0.009	197	193	195
70	1	0	1	0	0.944	0.006	156	157	154
75	1	0	1	0	1	0	160	164	165
80	1	0	1	0	1	0	172	167	172
85	0.984	0.009	0.978	0.011	0.966	0.014	182	180	175
90	0.985	0.008	0.981	0.009	0.975	0.011	206	209	202
95	0.996	0.004	1	0	0.984	0.008	259	250	243
